Date,AAPL,BND,MSFT,SPY,TSLA
2024-01-02,183.7313232421875,67.05980682373047,364.5895080566406,459.99114990234375,248.4199981689453
2024-01-03,182.35560607910156,67.11473083496094,364.3240051269531,456.2346496582031,238.4499969482422
2024-01-04,180.0396728515625,66.81256866455078,361.70904541015625,454.7650146484375,237.92999267578125
2024-01-05,179.31715393066406,66.61115264892578,361.5222473144531,455.387939453125,237.49000549316406
2024-01-08,183.65213012695312,66.9041519165039,368.3447570800781,461.888916015625,240.4499969482422
2024-01-09,183.2364501953125,66.89498138427734,369.4261474609375,461.1882629394531,234.9600067138672
2024-01-10,184.275634765625,66.77595520019531,376.2879333496094,463.7965393066406,233.94000244140625
2024-01-11,183.68179321289062,67.12389373779297,378.1164855957031,463.5920715332031,227.22000122070312
2024-01-12,184.00843811035156,67.26126098632812,381.8914489746094,463.91326904296875,218.88999938964844
2024-01-16,181.7419891357422,66.78511810302734,383.660888671875,462.2101135253906,219.91000366210938
2024-01-17,180.80174255371094,66.62947082519531,382.8744812011719,459.6408386230469,215.5500030517578
2024-01-18,186.6905517578125,66.53788757324219,387.1999816894531,463.72833251953125,211.8800048828125
2024-01-19,189.59042358398438,66.53788757324219,391.918701171875,469.5092468261719,212.19000244140625
2024-01-22,191.896484375,66.64776611328125,389.7952575683594,470.501953125,208.8000030517578
2024-01-23,193.1732177734375,66.49211883544922,392.1448059082031,471.8741760253906,209.13999938964844
2024-01-24,192.5001983642578,66.35476684570312,395.7427978515625,472.38995361328125,207.8300018310547
2024-01-25,192.17359924316406,66.66606140136719,398.0136413574219,474.95928955078125,182.6300048828125
2024-01-26,190.4416046142578,66.56533813476562,397.0895690917969,474.3558654785156,183.25
2024-01-29,189.7586669921875,66.83089447021484,402.78155517578125,478.1125183105469,190.92999267578125
2024-01-30,186.1066131591797,66.94993591308594,401.67071533203125,477.74273681640625,191.58999633789062
2024-01-31,182.50405883789062,67.2337646484375,390.84716796875,469.9472351074219,187.2899932861328
2024-02-01,184.93878173828125,67.63965606689453,396.942138671875,476.0979309082031,188.86000061035156
2024-02-02,183.9391632080078,67.03357696533203,404.25616455078125,481.1100158691406,187.91000366210938
2024-02-05,185.7503204345703,66.50099182128906,398.7804870605469,479.3582458496094,181.05999755859375
2024-02-06,187.3536834716797,66.81321716308594,398.6231689453125,480.7498779296875,185.10000610351562
2024-02-07,187.4625701904297,66.68463897705078,407.0382080078125,484.7596740722656,187.5800018310547
2024-02-08,186.38375854492188,66.51016998291016,407.09716796875,484.97369384765625,189.55999755859375
2024-02-09,187.1468048095703,66.455078125,413.4281005859375,487.776611328125,193.57000732421875
2024-02-12,185.46214294433594,66.47344207763672,408.22772216796875,487.5624694824219,188.1300048828125
2024-02-13,183.37118530273438,65.89493560791016,399.4391174316406,480.8472900390625,184.02000427246094
2024-02-14,182.4891815185547,66.14286804199219,403.29986572265625,485.21697998046875,188.7100067138672
